depth(m),cone penetration resistance (qc (MPa)),sleeve friction(kPa),total cone resistance (tc(Mpa)),friction ratio (%),bulk density (kN/m³),effective vertical stress(kPa),pore water pressure (kPa),total vertical stress (kPa),normalised cone resistance(-),normalised cone resistance corrected for overburden (-),normalised friction ratio (%),void ratio,Soil Class
0.7,2.25,88,2.77,3.11,19,13.3,6.87,6.43,428.78,168.94,3.13,0.66,Class 3: Silty sand to sandy silt
0.7,1.95,80,2.49,3.17,19,13.3,6.87,6.43,384.74,156.03,3.19,0.67,Class 3: Silty sand to sandy silt
0.7,1.6,39.4,1.6,2.46,19,13.3,0,13.3,119.29,31.32,2.48,0.83,Class 3: Silty sand to sandy silt
0.7,0.4,32.2,0.4,8.05,19,13.3,6.87,6.43,60.59,47.76,8.32,0.91,Class 4: Clayey silt to silty clay
0.7,0.07,4.7,0.07,7.09,19,13.3,6.87,6.43,8.24,1.05,8.87,1,Class 6: Organic soil / peat
0.71,1.77,42.7,1.77,2.42,19,13.49,0,13.49,129.88,34.58,2.44,0.81,Class 3: Silty sand to sandy silt
0.71,0.41,32.2,0.41,7.59,19,13.49,6.97,6.52,61.17,47.38,7.84,0.91,Class 4: Clayey silt to silty clay
0.71,0.12,4.9,0.12,4.14,19,13.49,6.97,6.52,16.06,2.07,4.68,1,Class 6: Organic soil / peat
0.72,2.15,82,2.7,3.19,19,13.68,7.06,6.62,406.49,164.37,3.21,0.67,Class 3: Silty sand to sandy silt
0.72,1.9,81,2.47,3.37,19,13.68,7.06,6.62,371.22,155.45,3.39,0.68,Class 3: Silty sand to sandy silt
0.72,1.93,46,1.93,2.38,19,13.68,0,13.68,140.17,37.85,2.4,0.8,Class 3: Silty sand to sandy silt
0.72,0.43,29.5,0.42,7.31,19,13.68,7.06,6.62,60.84,47.16,7.56,0.91,Class 4: Clayey silt to silty clay
0.73,2.09,62,2.08,2.98,19,13.87,0,13.87,149.09,40.82,3,0.82,Class 3: Silty sand to sandy silt
0.73,0.41,29.6,0.41,6.91,19,13.87,7.16,6.71,58.91,45.39,7.15,0.9,Class 4: Clayey silt to silty clay
0.74,2,89,2.62,3.25,19,14.06,7.26,6.8,382.95,158.69,3.26,0.67,Class 3: Silty sand to sandy silt
0.74,1.85,89,2.44,3.55,19,14.06,7.26,6.8,355.99,153.58,3.57,0.69,Class 3: Silty sand to sandy silt
0.74,3.7,210,4.8,4.09,19,14.06,7.26,6.8,704,277.03,4.1,0.65,Class 3: Silty sand to sandy silt
0.74,1.73,65.1,1.73,3.77,19,14.06,0,14.06,121.9,33.83,3.8,0.87,Class 4: Clayey silt to silty clay
0.74,0.39,25.7,0.39,6.84,19,14.06,7.26,6.8,55.63,43.37,7.09,0.91,Class 4: Clayey silt to silty clay
0.75,1.75,68.2,1.74,3.92,19,14.25,0,14.25,121.04,34.04,3.95,0.87,Class 4: Clayey silt to silty clay
0.75,0.41,4.1,0.41,0.99,19,14.25,7.36,6.89,57.75,7.86,1.03,0.94,Class 4: Clayey silt to silty clay
0.75,0.38,25.2,0.38,6.59,19,14.25,7.36,6.89,53.3,41.62,6.84,0.91,Class 4: Clayey silt to silty clay
0.76,1.95,84,2.53,3.38,19,14.44,7.46,6.98,360.65,154.14,3.4,0.68,Class 3: Silty sand to sandy silt
0.76,1.8,89,2.42,3.64,19,14.44,7.46,6.98,343.94,151.58,3.66,0.69,Class 3: Silty sand to sandy silt
0.76,3.7,191,4.05,5.09,19,14.44,7.46,6.98,577.8,254.48,5.11,0.69,Class 3: Silty sand to sandy silt
0.76,1.76,75.7,1.75,4.32,19,14.44,0,14.44,120.26,34.28,4.36,0.88,Class 4: Clayey silt to silty clay
0.76,0.46,4,0.46,0.88,19,14.44,7.46,6.98,63.38,8.74,0.9,0.92,Class 4: Clayey silt to silty clay
0.76,0.38,24.5,0.37,6.67,19,14.44,7.46,6.98,51.2,40.21,6.94,0.91,Class 4: Clayey silt to silty clay
0.77,2.6,84.2,2.59,3.25,19,14.63,0,14.63,175.83,50.78,3.27,0.8,Class 3: Silty sand to sandy silt
0.77,0.5,4,0.5,0.8,19,14.63,7.55,7.08,68.87,9.62,0.82,0.89,Class 4: Clayey silt to silty clay
0.77,0.36,24.7,0.37,6.61,19,14.63,7.55,7.08,49.58,39.21,6.89,0.91,Class 4: Clayey silt to silty clay
0.78,1.85,84,2.47,3.34,19,14.82,7.65,7.17,341.81,148.22,3.36,0.68,Class 3: Silty sand to sandy silt
0.78,1.8,86,2.4,3.64,19,14.82,7.65,7.17,332.51,148.52,3.66,0.7,Class 3: Silty sand to sandy silt
0.78,2.95,218,3.77,5.21,19,14.82,7.65,7.17,523.17,237.72,5.23,0.7,Class 3: Silty sand to sandy silt
0.78,3.52,81.5,3.51,2.32,19,14.82,0,14.82,236.02,69.04,2.33,0.72,Class 3: Silty sand to sandy silt
0.78,0.47,3.6,0.47,0.77,19,14.82,7.65,7.17,62.96,8.91,0.8,0.9,Class 4: Clayey silt to silty clay
0.78,0.36,23.3,0.36,6.59,19,14.82,7.65,7.17,48.25,38.41,6.87,0.91,Class 4: Clayey silt to silty clay
0.79,3.95,86.2,3.94,2.19,19,15.01,0,15.01,261.68,77.53,2.19,0.7,Class 3: Silty sand to sandy silt
0.79,0.36,23.3,0.36,6.42,19,15.01,7.75,7.26,47.86,37.96,6.7,0.91,Class 4: Clayey silt to silty clay
